iter	Logloss
0	0.654665475
1	0.6193200446
2	0.5864176047
3	0.5577312191
4	0.5308938036
5	0.505838545
6	0.4847475867
7	0.464952964
8	0.4484264856
9	0.4331853607
10	0.4184521062
11	0.4045551178
12	0.3927566363
13	0.3826890623
14	0.3733297598
15	0.3635121411
16	0.3552487807
17	0.3485583477
18	0.3416208244
19	0.3349292629
20	0.3293188152
21	0.3234819031
22	0.3181527942
23	0.3136788629
24	0.3094108474
25	0.3051568604
26	0.3010289264
27	0.2974380446
28	0.2942160277
29	0.2911648514
30	0.2881491601
31	0.2854508518
32	0.2830600894
33	0.2805436826
34	0.2781793217
35	0.2762576104
36	0.2739796046
37	0.2722295666
38	0.2704759466
39	0.268761223
40	0.2672919352
41	0.265809716
42	0.264277784
43	0.2630595325
44	0.2618616701
45	0.2606695117
46	0.2596046648
47	0.2586781296
48	0.2575333582
49	0.2564596959
50	0.2554940312
51	0.2546161537
52	0.2537487668
53	0.2528034857
54	0.2520227293
55	0.2511948698
56	0.2504970712
57	0.2497630396
58	0.2489734332
59	0.2484084868
60	0.2476990454
61	0.2471488231
62	0.2466586825
63	0.2460837408
64	0.2454800176
65	0.2450772933
66	0.2446452399
67	0.2442266068
68	0.243782382
69	0.2433645866
70	0.2429241476
71	0.242389203
72	0.2419704132
73	0.2416030241
74	0.2412534248
75	0.240907249
76	0.2406089248
77	0.2402497136
78	0.2399464188
79	0.2396427331
80	0.2393613224
81	0.2390330261
82	0.2387767693
83	0.2384146836
84	0.2380479667
85	0.2377571459
86	0.2375140743
87	0.2372717302
88	0.2370413357
89	0.2368112022
90	0.2365753294
91	0.2363330796
92	0.2360923767
93	0.2358195256
94	0.2356398697
95	0.2354179543
96	0.2351692289
97	0.2349880818
98	0.2347908173
99	0.2346356205
100	0.2344288686
101	0.2342479425
102	0.2340816451
103	0.233885335
104	0.2336951897
105	0.2335441457
106	0.2334004867
107	0.2332355356
108	0.233054841
109	0.2328949498
110	0.2327144828
111	0.2325524079
112	0.2323973417
113	0.2322470857
114	0.2320821923
115	0.2319752859
116	0.2317768467
117	0.2316567073
118	0.2314908542
119	0.2313514726
120	0.2312465002
121	0.2310774937
122	0.230973705
123	0.2308625256
124	0.2307487746
125	0.2306502896
126	0.2305435809
127	0.2304403697
128	0.2303450679
129	0.2302049768
130	0.2300853313
131	0.2299753332
132	0.2298661924
133	0.229721261
134	0.2296159857
135	0.229512499
136	0.2293697907
137	0.2292702703
138	0.2291585541
139	0.2290496352
140	0.228957119
141	0.2288587502
142	0.2287688172
143	0.2286875318
144	0.2285971994
145	0.2284811649
146	0.2283733474
147	0.2282871167
148	0.2281855726
149	0.2280846149
150	0.2279903181
151	0.2279158662
152	0.2278267899
153	0.227727394
154	0.2276229296
155	0.2275195355
156	0.227434532
157	0.2273556179
158	0.227256849
159	0.2271566407
160	0.2270643318
161	0.2269805693
162	0.2268950123
163	0.2268237998
164	0.226738627
165	0.2266552949
166	0.2265600258
167	0.2264972388
168	0.2264124417
169	0.226343078
170	0.2262740499
171	0.2261975194
172	0.2261350992
173	0.2260388513
174	0.2259358713
175	0.2258452804
176	0.2257900989
177	0.2257241083
178	0.2256598653
179	0.2256065894
180	0.2255352856
181	0.2254607503
182	0.2253892702
183	0.2253120059
184	0.2252391378
185	0.225172276
186	0.2250906399
187	0.2250284866
188	0.2249616423
189	0.2248956396
190	0.2248352477
191	0.2247671222
192	0.2247200288
193	0.2246583719
194	0.2246019236
195	0.2245595882
196	0.22450451
197	0.2244541095
198	0.2243764656
199	0.2243286742
200	0.2242643556
201	0.2242109972
202	0.224146947
203	0.2240695623
204	0.2240098706
205	0.2239498504
206	0.2238761112
207	0.2238025075
208	0.2237335525
209	0.2236645707
210	0.2236206958
211	0.2235725315
212	0.223516691
213	0.2234502396
214	0.2234042501
215	0.2233447056
216	0.2233035234
217	0.2232552572
218	0.2231830372
219	0.2231336249
220	0.2230841173
221	0.2230268048
222	0.222967264
223	0.222910345
224	0.2228651452
225	0.2228254732
226	0.2227771072
227	0.2227270112
228	0.2226749772
229	0.2226290627
230	0.2225823642
231	0.2225327442
232	0.2224783035
233	0.2224247749
234	0.2223744548
235	0.2223254488
236	0.2222745554
237	0.2222125578
238	0.2221574376
239	0.2221100163
240	0.2220750744
241	0.2220211535
242	0.2219726229
243	0.2219276313
244	0.2218867664
245	0.2218452875
246	0.2218006635
247	0.2217493183
248	0.2216916555
249	0.2216657082
250	0.2216030924
251	0.2215648069
252	0.2215011277
253	0.2214534524
254	0.2214008924
255	0.2213591244
256	0.2213197031
257	0.2212778943
258	0.2212317957
259	0.221186822
260	0.2211374557
261	0.2210925197
262	0.2210546457
263	0.2210057452
264	0.2209621426
265	0.2209108423
266	0.2208608276
267	0.2208155893
268	0.2207708201
269	0.2207262908
270	0.220684716
271	0.2206366526
272	0.2205957929
273	0.2205426852
274	0.220504214
275	0.2204761508
276	0.2204271458
277	0.2203992823
278	0.2203689486
279	0.2203082301
280	0.2202738607
281	0.2202282324
282	0.220183739
283	0.2201370317
284	0.2201008712
285	0.2200605595
286	0.2200161142
287	0.2199696861
288	0.2199363241
289	0.2198826
290	0.2198438284
291	0.2198051147
292	0.2197715267
293	0.2197388401
294	0.2196863618
295	0.2196437805
296	0.2195888553
297	0.2195360646
298	0.219482419
299	0.2194460001
300	0.2194042794
301	0.2193518927
302	0.2193146276
303	0.2192831978
304	0.2192431796
305	0.2192095951
306	0.2191756618
307	0.2191393367
308	0.2191047289
309	0.2190602792
310	0.2190195584
311	0.2189817714
312	0.2189385419
313	0.2188768317
314	0.2188444842
315	0.2188026154
316	0.2187696414
317	0.2187279634
318	0.2186865413
319	0.2186390071
320	0.218581893
321	0.2185465504
322	0.2185154213
323	0.2184850638
324	0.2184425234
325	0.2184172851
326	0.2183757211
327	0.2183335738
328	0.2182966038
329	0.2182625347
330	0.2182308942
331	0.2181920522
332	0.2181560214
333	0.2181234205
334	0.2180839694
335	0.2180375542
336	0.2180045891
337	0.2179693948
338	0.2179373067
339	0.2179085894
340	0.2178707191
341	0.217839257
342	0.2178010353
343	0.2177520715
344	0.2177123317
345	0.2176675792
346	0.2176256322
347	0.2175953604
348	0.2175612758
349	0.2175304695
350	0.2175056925
351	0.2174724989
352	0.2174355005
353	0.2174031546
354	0.21737988
355	0.2173480195
356	0.2173065157
357	0.2172769649
358	0.2172539441
359	0.2172194028
360	0.2171998301
361	0.2171537393
362	0.2171279195
363	0.2170864891
364	0.2170566763
365	0.2170203297
366	0.2169939047
367	0.2169628126
368	0.2169390702
369	0.2168992696
370	0.2168678105
371	0.2168373491
372	0.2167968486
373	0.2167606862
374	0.2167284042
375	0.2166983071
376	0.2166667777
377	0.216633478
378	0.2165983927
379	0.2165721129
380	0.2165333331
381	0.2165105198
382	0.2164827334
383	0.2164450646
384	0.2164139428
385	0.2163910265
386	0.216355173
387	0.2163178918
388	0.2162844299
389	0.2162466266
390	0.2162062079
391	0.2161792222
392	0.216135343
393	0.2161006356
394	0.2160763257
395	0.2160457343
396	0.2160118169
397	0.2159825382
398	0.2159357849
399	0.2159014065
400	0.2158667176
401	0.2158288746
402	0.2157929589
403	0.215761489
404	0.215729551
405	0.2157039966
406	0.2156633007
407	0.2156370863
408	0.2156010085
409	0.2155730394
410	0.215539878
411	0.215508138
412	0.2154694972
413	0.21542576
414	0.2153988378
415	0.2153623885
416	0.2153208679
417	0.2152868986
418	0.2152543932
419	0.2152280441
420	0.2151854769
421	0.2151525439
422	0.2151247318
423	0.2150941557
424	0.2150609641
425	0.2150214419
426	0.2149874921
427	0.2149581309
428	0.2149210846
429	0.2148927064
430	0.214862831
431	0.2148304569
432	0.2147913663
433	0.2147657253
434	0.2147328096
435	0.2146979491
436	0.2146743275
437	0.2146474841
438	0.2146118607
439	0.2145761947
440	0.2145493964
441	0.2145115893
442	0.2144757673
443	0.2144413238
444	0.2144054893
445	0.2143664037
446	0.2143257524
447	0.2142938857
448	0.2142568352
449	0.214227923
450	0.2141991468
451	0.2141737636
452	0.214140397
453	0.2141092546
454	0.2140715858
455	0.2140334902
456	0.2139964233
457	0.213958509
458	0.2139267245
459	0.2138872281
460	0.2138563884
461	0.2138232245
462	0.2137836645
463	0.2137408221
464	0.2136992908
465	0.213670743
466	0.2136458949
467	0.2136090728
468	0.2135732697
469	0.2135395228
470	0.213502317
471	0.2134653023
472	0.2134255918
473	0.2133941974
474	0.2133593576
475	0.213330153
476	0.2132876247
477	0.2132549837
478	0.2132142836
479	0.2131848401
480	0.2131444132
481	0.2131097846
482	0.2130793538
483	0.2130453363
484	0.2130032673
485	0.2129600314
486	0.2129149276
487	0.212882319
488	0.2128445108
489	0.2128123022
490	0.2127773436
491	0.2127368221
492	0.2127020677
493	0.212670564
494	0.2126345175
495	0.2125998598
496	0.2125614704
497	0.2125241486
498	0.2124860346
499	0.2124474793
500	0.2124209035
501	0.2123886843
502	0.2123628858
503	0.2123325821
504	0.212291422
505	0.2122653883
506	0.212232261
507	0.2121948528
508	0.2121613425
509	0.2121173335
510	0.2120853419
511	0.2120526403
512	0.2120175785
513	0.2119881163
514	0.2119540486
515	0.2119250607
516	0.2118932137
517	0.2118519069
518	0.2118153197
519	0.2117824217
520	0.211743999
521	0.2117012095
522	0.2116789727
523	0.2116543002
524	0.2116238443
525	0.2115908457
526	0.2115558072
527	0.211522882
528	0.2115002441
529	0.2114716243
530	0.2114346033
531	0.2114005635
532	0.2113763086
533	0.2113441
534	0.2113152133
535	0.2112756087
536	0.2112430912
537	0.2112125953
538	0.2111725478
