iter	Passed	Remaining
354	335108	1080842
355	336099	1080049
356	337003	1078978
357	338002	1078208
358	338977	1077361
359	339922	1076420
360	340945	1075725
361	341967	1075024
362	343063	1074555
363	344033	1073687
364	344947	1072644
365	345921	1071789
366	346768	1070540
367	347729	1069647
368	348649	1068624
369	349564	1067588
370	350446	1066451
371	351504	1065852
372	352393	1064739
373	353430	1064071
374	354383	1063151
375	355413	1062458
376	356328	1061425
377	357258	1060433
378	358286	1059733
379	359183	1058647
380	360173	1057831
381	361277	1057351
382	362231	1056429
383	363251	1055700
384	364295	1055036
385	365315	1054305
386	366293	1053448
387	367314	1052714
388	368224	1051663
389	369173	1050725
390	370147	1049855
391	371126	1049000
392	372054	1047999
393	373013	1047089
394	374013	1046290
395	374993	1045435
396	375966	1044561
397	376827	1043375
398	377756	1042381
399	378670	1041344
400	379674	1040552
401	380546	1039402
402	381587	1038714
403	382536	1037772
404	383444	1036719
405	384318	1035576
406	385185	1034415
407	386224	1033719
408	387183	1032804
409	388184	1032003
410	389118	1031021
411	390182	1030385
412	391148	1029488
413	392018	1028338
414	392975	1027417
415	393906	1026428
416	394843	1025456
417	395830	1024614
418	396729	1023543
419	397678	1022600
420	398578	1021535
421	399590	1020754
422	400616	1020009
423	401494	1018887
424	402341	1017687
425	403312	1016802
426	404260	1015858
427	405194	1014879
428	406071	1013759
429	407035	1012855
430	407943	1011812
431	408881	1010845
432	409818	1009874
433	410721	1008821
434	411662	1007862
435	412619	1006942
436	413547	1005951
437	414583	1005222
438	415437	1004053
439	416322	1002957
440	417273	1002024
441	418218	1001074
442	419162	1000123
443	420165	999313
444	421077	998284
445	422000	997283
446	423053	996588
447	424109	995899
448	425066	994977
449	426108	994253
450	427034	993258
451	427988	992328
452	428928	991363
453	429862	990387
454	430756	989320
455	431746	988473
456	432663	987458
457	433633	986564
458	434533	985509
459	435447	984489
460	436397	983551
461	437322	982556
462	438233	981529
463	439272	980789
464	440243	979897
465	441132	978821
466	442098	977917
467	443032	976943
468	443997	976037
469	444942	975087
470	445848	974050
471	446786	973086
472	447681	972028
473	448537	970884
474	449536	970051
475	450434	969002
476	451378	968051
477	452280	967010
478	453179	965962
479	454086	964934
480	455064	964056
481	456094	963286
482	457058	962377
483	458045	961517
484	459012	960613
485	459977	959706
486	460989	958896
487	461938	957955
488	462884	957006
489	463792	955980
490	464728	955011
491	465658	954033
492	466539	952951
493	467594	952225
494	468599	951399
495	469643	950648
496	470713	949951
497	471638	948959
498	472619	948080
499	473496	946992
500	474448	946056
501	475524	945365
502	476529	944532
503	477448	943529
504	478433	942655
505	479352	941652
506	480315	940736
507	481307	939875
508	482251	938921
509	483261	938095
510	484173	937079
511	485113	936117
512	486017	935086
513	487013	934231
514	487913	933193
515	488841	932209
516	489776	931238
517	490755	930352
518	491635	929276
519	492716	928581
520	493669	927644
521	494523	926520
522	495451	925537
523	496488	924757
524	497448	923833
525	498371	922839
526	499211	921693
527	500307	921020
528	501247	920059
529	502159	919047
530	503118	918120
531	504197	917411
532	505219	916598
533	506277	915849
534	507224	914900
535	508148	913909
536	509149	913056
537	510116	912141
538	510973	911031
539	511912	910066
540	512857	909112
541	513819	908190
542	514785	907273
543	515781	906410
544	516686	905385
545	517610	904396
546	518657	903620
547	519583	902634
548	520482	901601
549	521367	900544
550	522272	899521
551	523209	898555
552	524128	897557
553	525030	896531
554	526003	895627
555	526953	894684
556	527855	893658
557	528782	892676
558	529750	891762
559	530737	890880
560	531769	890074
561	532696	889091
562	533684	888210
563	534648	887288
564	535560	886280
565	536491	885306
566	537376	884255
567	538280	883235
568	539318	882434
569	540288	881523
570	541397	880836
571	542401	879980
572	543419	879144
573	544383	878221
574	545432	877435
575	546356	876446
576	547258	875423
577	548141	874371
578	549087	873418
579	550100	872573
580	551000	871547
581	551908	870536
582	552964	869757
583	553976	868907
584	554966	868024
585	555961	867148
586	556893	866173
587	557773	865117
588	558792	864279
589	559882	863548
590	560828	862594
591	561858	861769
592	562827	860850
593	563779	859906
594	564721	858945
595	565649	857964
596	566695	857162
597	567655	856229
598	568611	855290
599	569524	854287
600	570474	853338
601	571434	852405
602	572380	851451
603	573373	850567
604	574263	849529
605	575220	848592
606	576157	847625
607	577121	846697
608	578071	845750
609	579089	844901
610	579952	843826
611	580911	842891
612	581839	841911
613	582803	840983
614	583812	840119
615	584745	839148
616	585725	838242
617	586721	837359
618	587701	836454
619	588630	835474
620	589570	834512
621	590505	833543
622	591482	832632
623	592409	831651
624	593366	830713
625	594246	829666
626	595249	828792
627	596171	827804
628	597149	826895
629	598102	825951
630	599055	825007
631	600045	824112
632	601047	823235
633	601969	822249
634	602839	821191
635	603733	820166
636	604777	819345
637	605708	818371
638	606641	817400
639	607680	816570
640	608570	815541
641	609569	814657
642	610469	813643
643	611442	812724
644	612388	811771
645	613410	810917
646	614353	809959
647	615331	809046
648	616236	808039
649	617250	807174
650	618152	806161
651	619033	805123
652	619995	804189
653	620970	803273
654	621932	802340
655	622916	801435
656	623864	800483
657	624870	799606
658	625781	798606
659	626819	797770
660	627783	796838
661	628715	795866
662	629720	794986
663	630635	793993
664	631548	792996
665	632510	792062
666	633408	791048
667	634378	790123
668	635379	789238
669	636384	788357
670	637282	787343
671	638216	786373
672	639183	785445
673	640148	784514
674	641096	783562
675	642002	782559
676	643026	781700
677	643995	780773
678	644916	779788
679	645788	778744
680	646728	777784
681	647659	776811
682	648591	775840
683	649572	774928
684	650553	774016
685	651476	773034
686	652478	772146
687	653398	771162
688	654429	770308
689	655381	769360
